col,year,day_of_year,ad,not_ad,promo,min
2021_180,2021,180,10.0,3.0,0.0,3
2021_182,2021,182,276.0,155.0,2.0,155
2021_183,2021,183,291.0,137.0,0.0,137
2021_184,2021,184,225.0,57.0,1.0,57
2021_185,2021,185,348.0,127.0,4.0,127
2021_186,2021,186,338.0,50.0,1.0,50
2021_187,2021,187,228.0,96.0,1.0,96
2021_188,2021,188,324.0,163.0,1.0,163
2021_189,2021,189,111.0,11.0,0.0,11
2021_190,2021,190,239.0,58.0,0.0,58
2021_191,2021,191,254.0,68.0,0.0,68
2021_192,2021,192,205.0,84.0,0.0,84
2021_193,2021,193,413.0,98.0,0.0,98
2021_194,2021,194,467.0,223.0,0.0,223
2021_195,2021,195,457.0,266.0,1.0,266
2021_196,2021,196,708.0,315.0,1.0,315
2021_197,2021,197,977.0,350.0,8.0,350
2021_198,2021,198,824.0,170.0,6.0,170
2021_199,2021,199,995.0,180.0,6.0,180
2021_200,2021,200,1126.0,270.0,19.0,270
2021_201,2021,201,1271.0,341.0,15.0,341
2021_202,2021,202,1264.0,326.0,21.0,326
2021_203,2021,203,1213.0,309.0,25.0,309
2021_204,2021,204,1305.0,276.0,27.0,276
2021_205,2021,205,1387.0,147.0,5.0,147
2021_206,2021,206,1500.0,162.0,18.0,162
2021_207,2021,207,1923.0,221.0,35.0,221
2021_208,2021,208,1973.0,175.0,21.0,175
2021_209,2021,209,2152.0,179.0,18.0,179
2021_210,2021,210,2178.0,145.0,13.0,145
2021_211,2021,211,2036.0,168.0,21.0,168
2021_212,2021,212,2209.0,112.0,55.0,112
2021_213,2021,213,2662.0,98.0,45.0,98
2021_214,2021,214,2783.0,101.0,32.0,101
2021_215,2021,215,3038.0,110.0,23.0,110
2021_216,2021,216,2961.0,72.0,19.0,72
2021_217,2021,217,2824.0,90.0,23.0,90
2021_218,2021,218,2120.0,60.0,26.0,60
2021_219,2021,219,2989.0,114.0,21.0,114
2021_220,2021,220,3123.0,84.0,15.0,84
2021_221,2021,221,3725.0,107.0,38.0,107
2021_222,2021,222,3862.0,168.0,45.0,168
2021_223,2021,223,3822.0,133.0,49.0,133
2021_224,2021,224,3981.0,150.0,70.0,150
2021_225,2021,225,4049.0,254.0,99.0,254
2021_226,2021,226,4058.0,226.0,89.0,226
2021_227,2021,227,4254.0,249.0,101.0,249
2021_228,2021,228,5007.0,202.0,138.0,202
2021_229,2021,229,4850.0,196.0,132.0,196
2021_230,2021,230,5347.0,222.0,109.0,222
2021_231,2021,231,5604.0,238.0,100.0,238
2021_232,2021,232,6119.0,217.0,108.0,217
2021_233,2021,233,5863.0,197.0,105.0,197
2021_234,2021,234,7010.0,230.0,138.0,230
2021_235,2021,235,6656.0,298.0,158.0,298
2021_236,2021,236,9988.0,423.0,250.0,423
2021_237,2021,237,7547.0,410.0,165.0,410
2021_238,2021,238,7551.0,490.0,195.0,490
2021_239,2021,239,11016.0,937.0,299.0,937
2021_240,2021,240,8312.0,752.0,260.0,752
2021_241,2021,241,8622.0,747.0,475.0,747
2021_242,2021,242,9590.0,985.0,769.0,985
2021_243,2021,243,10616.0,2688.0,1132.0,2688
2021_244,2021,244,11621.0,4602.0,1201.0,4602
2021_245,2021,245,11845.0,4603.0,1198.0,4603
2021_246,2021,246,12398.0,4155.0,1233.0,4155
2021_247,2021,247,12125.0,3458.0,1218.0,3458
2021_248,2021,248,11363.0,3610.0,1130.0,3610
2021_249,2021,249,11434.0,3959.0,1110.0,3959
2021_250,2021,250,11585.0,4345.0,1167.0,4345
2021_251,2021,251,10617.0,4251.0,1049.0,4251
2021_252,2021,252,11218.0,4028.0,1208.0,4028
2021_253,2021,253,12323.0,4299.0,1057.0,4299
2021_254,2021,254,11868.0,3810.0,897.0,3810
2021_255,2021,255,14834.0,4748.0,964.0,4748
2021_256,2021,256,11954.0,4387.0,874.0,4387
2021_257,2021,257,12234.0,4205.0,931.0,4205
2021_258,2021,258,12414.0,4534.0,840.0,4534
2021_259,2021,259,12426.0,4354.0,679.0,4354
2021_260,2021,260,12876.0,4105.0,568.0,4105
2021_261,2021,261,12814.0,4136.0,479.0,4136
2021_262,2021,262,12391.0,4252.0,410.0,4252
2021_263,2021,263,11879.0,5389.0,404.0,5389
2021_264,2021,264,12182.0,4848.0,431.0,4848
2021_265,2021,265,12184.0,4559.0,380.0,4559
2021_266,2021,266,11862.0,4821.0,469.0,4821
2021_267,2021,267,12102.0,4816.0,565.0,4816
2021_268,2021,268,11777.0,4095.0,553.0,4095
2021_269,2021,269,14602.0,5441.0,616.0,5441
2021_270,2021,270,11723.0,4488.0,511.0,4488
2021_271,2021,271,9228.0,3566.0,380.0,3566
2021_272,2021,272,12985.0,4596.0,655.0,4596
2021_273,2021,273,12099.0,4100.0,506.0,4100
2021_274,2021,274,12757.0,4198.0,512.0,4198
2021_275,2021,275,12637.0,3573.0,487.0,3573
2021_276,2021,276,12709.0,3754.0,422.0,3754
2021_277,2021,277,15997.0,5835.0,464.0,5835
2021_278,2021,278,15152.0,5572.0,415.0,5572
2021_279,2021,279,10909.0,4440.0,299.0,4440
2021_280,2021,280,11860.0,4259.0,274.0,4259
2021_281,2021,281,12867.0,4437.0,323.0,4437
2021_282,2021,282,12753.0,4078.0,394.0,4078
2021_283,2021,283,12464.0,4181.0,378.0,4181
2021_284,2021,284,11988.0,4404.0,409.0,4404
2021_285,2021,285,12082.0,4971.0,350.0,4971
2021_286,2021,286,12211.0,4420.0,362.0,4420
2021_287,2021,287,12473.0,5606.0,345.0,5606
2021_288,2021,288,12689.0,6415.0,415.0,6415
2021_289,2021,289,11944.0,4700.0,431.0,4700
2021_290,2021,290,11824.0,5355.0,387.0,5355
2021_291,2021,291,12037.0,6120.0,300.0,6120
2021_292,2021,292,11611.0,6606.0,266.0,6606
2021_293,2021,293,10299.0,4885.0,273.0,4885
2021_294,2021,294,11800.0,5720.0,295.0,5720
2021_295,2021,295,12331.0,5847.0,348.0,5847
2021_296,2021,296,12374.0,4951.0,370.0,4951
2021_297,2021,297,11879.0,5626.0,258.0,5626
2021_298,2021,298,11760.0,6555.0,246.0,6555
2021_299,2021,299,11617.0,6371.0,329.0,6371
2021_300,2021,300,11752.0,6244.0,296.0,6244
2021_301,2021,301,11968.0,5943.0,266.0,5943
2021_302,2021,302,12422.0,5934.0,293.0,5934
2021_303,2021,303,12531.0,4631.0,342.0,4631
2021_304,2021,304,11826.0,4805.0,352.0,4805
2021_305,2021,305,12391.0,5569.0,298.0,5569
2021_306,2021,306,12467.0,5201.0,234.0,5201
2021_307,2021,307,12512.0,5343.0,222.0,5343
2021_308,2021,308,12535.0,5580.0,231.0,5580
2021_309,2021,309,14243.0,5646.0,252.0,5646
2021_310,2021,310,13201.0,3950.0,330.0,3950
2021_311,2021,311,12797.0,4164.0,309.0,4164
2021_312,2021,312,12683.0,5249.0,298.0,5249
2021_313,2021,313,12631.0,5462.0,282.0,5462
2021_314,2021,314,12746.0,5492.0,326.0,5492
2021_315,2021,315,12687.0,5598.0,324.0,5598
2021_316,2021,316,12778.0,5515.0,405.0,5515
2021_317,2021,317,16991.0,5906.0,811.0,5906
2021_318,2021,318,12351.0,4232.0,587.0,4232
2021_319,2021,319,12579.0,5250.0,420.0,5250
2021_320,2021,320,11631.0,5180.0,312.0,5180
2021_321,2021,321,11895.0,5081.0,268.0,5081
2021_322,2021,322,12573.0,5484.0,394.0,5484
2021_323,2021,323,13045.0,5493.0,326.0,5493
2021_324,2021,324,12390.0,4171.0,394.0,4171
2021_325,2021,325,12710.0,4198.0,467.0,4198
2021_326,2021,326,14512.0,5817.0,540.0,5817
2021_327,2021,327,12368.0,5033.0,417.0,5033
2021_328,2021,328,12645.0,5363.0,366.0,5363
2021_329,2021,329,11928.0,5177.0,326.0,5177
2021_330,2021,330,13115.0,5363.0,526.0,5363
2021_331,2021,331,15699.0,4417.0,970.0,4417
2021_332,2021,332,12782.0,4393.0,582.0,4393
2021_333,2021,333,11530.0,5288.0,386.0,5288
2021_334,2021,334,12616.0,5619.0,422.0,5619
2021_335,2021,335,16329.0,6762.0,484.0,6762
2021_336,2021,336,15949.0,6625.0,524.0,6625
2021_337,2021,337,19865.0,8206.0,846.0,8206
2021_338,2021,338,21015.0,7714.0,1022.0,7714
2021_339,2021,339,18133.0,6632.0,1139.0,6632
2021_340,2021,340,19481.0,8034.0,1071.0,8034
2021_341,2021,341,19678.0,8493.0,1062.0,8493
2021_342,2021,342,19807.0,8101.0,1131.0,8101
2021_343,2021,343,19911.0,8933.0,1003.0,8933
2021_344,2021,344,20176.0,8690.0,812.0,8690
2021_345,2021,345,20070.0,7170.0,887.0,7170
2021_346,2021,346,19158.0,7206.0,884.0,7206
2021_347,2021,347,20821.0,9970.0,939.0,9970
2021_348,2021,348,23104.0,10874.0,1095.0,10874
2021_349,2021,349,23457.0,10038.0,1161.0,10038
2021_350,2021,350,23400.0,10994.0,1203.0,10994
2021_351,2021,351,24102.0,10408.0,1147.0,10408
2021_352,2021,352,24593.0,8909.0,1210.0,8909
2021_353,2021,353,22455.0,10100.0,959.0,10100
2021_354,2021,354,22621.0,11793.0,1101.0,11793
2021_355,2021,355,21747.0,11406.0,1122.0,11406
2021_356,2021,356,22955.0,11384.0,1017.0,11384
2021_357,2021,357,22153.0,10466.0,957.0,10466
2021_358,2021,358,21231.0,9742.0,975.0,9742
2021_359,2021,359,24456.0,8829.0,1078.0,8829
2021_360,2021,360,26453.0,8702.0,1352.0,8702
2021_361,2021,361,22798.0,16018.0,1874.0,16018
2021_362,2021,362,22571.0,13860.0,1517.0,13860
2021_363,2021,363,20414.0,12279.0,1281.0,12279
2021_364,2021,364,21411.0,12200.0,1443.0,12200
2021_365,2021,365,20159.0,13914.0,1156.0,13914
2022_1,2022,1,20768.0,15023.0,1372.0,15023
2022_2,2022,2,20491.0,16726.0,1455.0,16726
2022_3,2022,3,21791.0,16253.0,1077.0,16253
2022_4,2022,4,23187.0,19281.0,821.0,19281
2022_5,2022,5,23696.0,16820.0,742.0,16820
2022_6,2022,6,23964.0,18446.0,869.0,18446
2022_7,2022,7,24391.0,17535.0,835.0,17535
2022_8,2022,8,23746.0,14957.0,838.0,14957
2022_9,2022,9,24180.0,15988.0,976.0,15988
2022_10,2022,10,24351.0,17263.0,791.0,17263
2022_11,2022,11,25728.0,18440.0,859.0,18440
2022_12,2022,12,23999.0,18470.0,723.0,18470
2022_13,2022,13,23487.0,18129.0,778.0,18129
2022_14,2022,14,20790.0,16176.0,834.0,16176
2022_15,2022,15,21302.0,15330.0,1119.0,15330
2022_16,2022,16,20701.0,14448.0,1126.0,14448
2022_17,2022,17,21980.0,18791.0,1294.0,18791
2022_18,2022,18,23213.0,18989.0,1371.0,18989
2022_19,2022,19,26039.0,21680.0,1605.0,21680
2022_20,2022,20,26177.0,21495.0,1622.0,21495
2022_21,2022,21,25164.0,22785.0,1175.0,22785
2022_22,2022,22,26501.0,20940.0,1151.0,20940
2022_23,2022,23,25995.0,19327.0,1036.0,19327
2022_24,2022,24,25554.0,23316.0,856.0,23316
2022_25,2022,25,27070.0,24453.0,912.0,24453
2022_26,2022,26,25492.0,23193.0,905.0,23193
2022_27,2022,27,25481.0,23780.0,989.0,23780
2022_28,2022,28,23197.0,19168.0,864.0,19168
2022_29,2022,29,20566.0,15225.0,853.0,15225
2022_30,2022,30,21623.0,14787.0,1052.0,14787
2022_31,2022,31,20471.0,17735.0,1051.0,17735
2022_32,2022,32,21575.0,19650.0,1052.0,19650
2022_33,2022,33,21200.0,18445.0,999.0,18445
2022_34,2022,34,21573.0,18889.0,939.0,18889
2022_35,2022,35,22845.0,18392.0,1102.0,18392
2022_36,2022,36,23266.0,16969.0,1497.0,16969
2022_37,2022,37,21856.0,14921.0,1322.0,14921
2022_38,2022,38,20592.0,15867.0,1263.0,15867
2022_39,2022,39,21738.0,17084.0,1312.0,17084
2022_40,2022,40,23581.0,18521.0,1149.0,18521
2022_41,2022,41,20548.0,16234.0,860.0,16234
2022_42,2022,42,24905.0,18989.0,1245.0,18989
2022_43,2022,43,26018.0,17925.0,1160.0,17925
2022_44,2022,44,25333.0,17864.0,913.0,17864
2022_45,2022,45,23278.0,19631.0,693.0,19631
2022_46,2022,46,26029.0,20341.0,861.0,20341
2022_47,2022,47,22922.0,19092.0,987.0,19092
2022_48,2022,48,24860.0,17854.0,1456.0,17854
2022_49,2022,49,28684.0,20759.0,1692.0,20759
2022_50,2022,50,26706.0,17557.0,1627.0,17557
2022_51,2022,51,25655.0,15896.0,1307.0,15896
2022_52,2022,52,26348.0,17320.0,869.0,17320
2022_53,2022,53,27252.0,19749.0,988.0,19749
2022_54,2022,54,25702.0,17534.0,838.0,17534
2022_55,2022,55,25744.0,17570.0,561.0,17570
2022_56,2022,56,25801.0,16724.0,382.0,16724
2022_57,2022,57,11474.0,4154.0,161.0,4154
